公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
3592,1110912,瑞鼎,半導體業,1326763,1389413
3593,1110912,力銘,電子零組件業,100023,67825
3596,1110912,智易,通信網路業,4077872,4183524
3607,1110912,谷崧,電子零組件業,255932,218180
3617,1110912,碩天,其他電子業,979882,1031406
3622,1110912,洋華,光電業,82007,112422
3645,1110912,達邁,電子零組件業,105511,86481
3653,1110912,健策,電子零組件業,1122164,919515
3661,1110912,世芯-KY,半導體業,1166107,950674
3665,1110912,貿聯-KY,其他電子業,4567275,4953269
3669,1110912,圓展,通信網路業,216418,312966
3673,1110912,TPK-KY,光電業,9195001,9939817
3679,1110912,新至陞,電子零組件業,414153,402394
3682,1110912,亞太電,通信網路業,1022246,1034500
3686,1110912,達能,半導體業,8132,582
3694,1110912,海華,通信網路業,1091212,978354
3705,1110912,永信,生技醫療業,556860,537095
3706,1110912,神達,電腦及週邊設備業,3822003,4046413
3708,1110912,上緯投控,化學工業,814660,679366
3712,1110912,永崴投控,電腦及週邊設備業,815793,637229
3714,1110912,富采,光電業,2282902,2316152
4104,1110912,佳醫,生技醫療業,634672,562980
4108,1110912,懷特,生技醫療業,14316,8752
4119,1110912,旭富,生技醫療業,124845,49649
4133,1110912,亞諾法,生技醫療業,42019,30430
4137,1110912,麗豐-KY,生技醫療業,396987,388205
4142,1110912,國光生,生技醫療業,109142,277341
4148,1110912,全宇生技-KY,生技醫療業,460062,365312
4190,1110912,佐登-KY,生技醫療業,216035,200064
4426,1110912,利勤,紡織纖維,120036,140625
4438,1110912,廣越,紡織纖維,2558539,2473638
4439,1110912,冠星-KY,紡織纖維,785447,574542
4440,1110912,宜新實業,紡織纖維,135067,126887
4532,1110912,瑞智,電機機械,1250912,1519977
4536,1110912,拓凱,其他,1128785,865598
4540,1110912,全球傳動,電機機械,283229,329530
4545,1110912,銘鈺,電子零組件業,192080,243684
4551,1110912,智伸科,汽車工業,849739,797410
4552,1110912,力達-KY,電機機械,512122,438540
4555,1110912,氣立,電機機械,149859,184869
4557,1110912,永新-KY,汽車工業,266856,280503
4560,1110912,強信-KY,電機機械,154978,161919
4562,1110912,穎漢,電機機械,74722,66153
4564,1110912,元翎,電機機械,146576,152461
4566,1110912,時碩工業,電機機械,477432,406815
4571,1110912,鈞興-KY,電機機械,189199,206991
4572,1110912,駐龍,電機機械,59544,50043
4576,1110912,大銀微系統,電機機械,283578,286237
4581,1110912,光隆精密-KY,汽車工業,96181,81784
4583,1110912,台灣精銳,電機機械,246306,291708
4720,1110912,德淵,化學工業,322875,326494
4722,1110912,國精化,化學工業,285783,378792
4737,1110912,華廣,生技醫療業,144384,164715
4739,1110912,康普,化學工業,680910,797698
4746,1110912,台耀,生技醫療業,279054,340174
4755,1110912,三福化,化學工業,419269,411234
4763,1110912,材料-KY,化學工業,416873,372572
4764,1110912,雙鍵,化學工業,226376,227727
4766,1110912,南寶,化學工業,1993074,1882912
4770,1110912,上品,化學工業,420669,524897
4906,1110912,正文,通信網路業,2654839,2300161
4912,1110912,聯德控股-KY,電子零組件業,404243,506883
4915,1110912,致伸,電子零組件業,7429895,7378112
4916,1110912,事欣科,電腦及週邊設備業,246987,177944
4919,1110912,新唐,半導體業,3485293,3320548
4927,1110912,泰鼎-KY,電子零組件業,1072376,853497
4930,1110912,燦星網,電器電纜,628347,681833
4934,1110912,太極,光電業,193432,200716
4935,1110912,茂林-KY,光電業,1099924,1151695
4938,1110912,和碩,電腦及週邊設備業,116036992,107969645
4942,1110912,嘉彰,光電業,626796,620510
4952,1110912,凌通,半導體業,231324,245525
4956,1110912,光鋐,光電業,93380,84421
4958,1110912,臻鼎-KY,電子零組件業,16539190,13193571
4960,1110912,誠美材,光電業,605699,775995
4961,1110912,天鈺,半導體業,1434516,1459047
4967,1110912,十銓,半導體業,504585,485816
4968,1110912,立積,半導體業,302144,296677
4976,1110912,佳凌,光電業,113276,111434
4977,1110912,眾達-KY,通信網路業,270184,269941
4989,1110912,榮科,電子零組件業,332823,297198
4994,1110912,傳奇,資訊服務業,137315,172737
4999,1110912,鑫禾,電子零組件業,163123,192571
5007,1110912,三星,鋼鐵工業,597907,532636
5203,1110912,訊連,資訊服務業,139866,148930
5215,1110912,科嘉-KY,電腦及週邊設備業,178597,251151
5222,1110912,全訊,半導體業,94635,67102
5225,1110912,東科-KY,其他電子業,1403828,1363484
5234,1110912,達興材料,光電業,252786,250165
5243,1110912,乙盛-KY,光電業,1406940,1270012
5244,1110912,弘凱,光電業,68785,62184
5258,1110912,虹堡,電腦及週邊設備業,634941,616095
5269,1110912,祥碩,半導體業,451057,449339
5284,1110912,jpp-KY,其他,164356,157092
5285,1110912,界霖,半導體業,547000,557922
5388,1110912,中磊,通信網路業,5733889,6006754
5434,1110912,崇越,電子通路業,4632104,4621927
5469,1110912,瀚宇博,電子零組件業,4139143,4179502
5471,1110912,松翰,半導體業,254784,260396
5515,1110912,建國,建材營造,387387,453909
